[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.336+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.337+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.338+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.339+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.340+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
