iter	Passed	Remaining
567	29876	22723
568	29927	22669
569	29979	22615
570	30031	22562
571	30082	22509
572	30138	22459
573	30190	22406
574	30241	22352
575	30294	22299
576	30345	22246
577	30399	22194
578	30451	22141
579	30502	22087
580	30553	22034
581	30603	21980
582	30654	21926
583	30705	21872
584	30756	21818
585	30807	21765
586	30857	21710
587	30908	21657
588	30960	21604
589	31011	21550
590	31062	21496
591	31113	21443
592	31170	21393
593	31234	21348
594	31286	21296
595	31337	21242
596	31391	21190
597	31444	21138
598	31496	21085
599	31547	21031
600	31599	20978
601	31650	20925
602	31702	20872
603	31754	20818
604	31804	20765
605	31855	20711
606	31905	20657
607	31957	20604
608	32007	20550
609	32059	20496
610	32109	20442
611	32160	20389
612	32216	20338
613	32270	20287
614	32321	20233
615	32372	20180
616	32424	20127
617	32476	20074
618	32527	20021
619	32580	19968
620	32630	19914
621	32681	19861
622	32733	19808
623	32785	19755
624	32835	19701
625	32887	19648
626	32939	19595
627	32989	19541
628	33040	19488
629	33091	19434
630	33143	19381
631	33194	19328
632	33244	19274
633	33300	19224
634	33351	19170
635	33402	19117
636	33452	19063
637	33504	19010
638	33555	18957
639	33607	18904
640	33659	18851
641	33709	18797
642	33760	18744
643	33810	18690
644	33862	18637
645	33913	18584
646	33964	18530
647	34016	18477
648	34067	18424
649	34119	18371
650	34169	18318
651	34219	18264
652	34271	18211
653	34323	18158
654	34378	18107
655	34428	18054
656	34479	18000
657	34533	17948
658	34583	17895
659	34635	17842
660	34686	17789
661	34738	17736
662	34788	17682
663	34839	17629
664	34889	17576
665	34941	17523
666	34992	17469
667	35043	17417
668	35094	17363
669	35145	17310
670	35196	17257
671	35247	17203
672	35298	17151
673	35349	17097
674	35401	17045
675	35455	16993
676	35506	16940
677	35556	16886
678	35608	16833
679	35658	16780
680	35709	16727
681	35762	16674
682	35813	16622
683	35863	16568
684	35914	16515
685	35964	16462
686	36015	16408
687	36067	16356
688	36118	16303
689	36170	16250
690	36220	16196
691	36271	16143
692	36322	16090
693	36373	16037
694	36423	15984
695	36476	15932
696	36531	15880
697	36584	15828
698	36634	15775
699	36685	15722
700	36737	15669
701	36788	15616
702	36840	15564
703	36893	15511
704	36944	15459
705	36996	15406
706	37046	15353
707	37097	15299
708	37148	15247
709	37199	15194
710	37250	15141
711	37302	15088
712	37353	15035
713	37405	14982
714	37456	14930
715	37506	14876
716	37562	14826
717	37614	14773
718	37666	14720
719	37716	14667
720	37767	14614
721	37818	14561
722	37871	14509
723	37922	14456
724	37973	14403
725	38024	14351
