home_name,away_name,result,home_team_result,away_team_result,home_avg_odds,draw_avg_odds,away_avg_odds,season,date_start_timestamp
Manchester City,Leicester,5:1,5,1,1.24,6.43,13.62,2017-2018,1518283800
Everton,Crystal Palace,3:1,3,1,2.11,3.22,3.89,2017-2018,1518274800
Stoke,Brighton,1:1,1,1,2.34,3.2,3.39,2017-2018,1518274800
Swansea,Burnley,1:0,1,0,2.38,3.0,3.56,2017-2018,1518274800
West Ham,Watford,2:0,2,0,2.38,3.28,3.15,2017-2018,1518274800
Tottenham,Arsenal,1:0,1,0,1.91,3.77,3.89,2017-2018,1518265800
Watford,Chelsea,4:1,4,1,6.51,4.33,1.52,2017-2018,1517860800
Liverpool,Tottenham,2:2,2,2,1.99,3.72,3.71,2017-2018,1517761800
Crystal Palace,Newcastle,1:1,1,1,2.07,3.27,3.94,2017-2018,1517753700
Arsenal,Everton,5:1,5,1,1.34,5.45,9.52,2017-2018,1517679000
Bournemouth,Stoke,2:1,2,1,1.9,3.58,4.22,2017-2018,1517670000
Brighton,West Ham,3:1,3,1,2.28,3.05,3.73,2017-2018,1517670000
Leicester,Swansea,1:1,1,1,1.84,3.43,4.88,2017-2018,1517670000
Manchester Utd,Huddersfield,2:0,2,0,1.22,6.52,15.93,2017-2018,1517670000
West Brom,Southampton,2:3,2,3,2.85,3.1,2.78,2017-2018,1517670000
Burnley,Manchester City,1:1,1,1,12.0,5.55,1.29,2017-2018,1517661000
Manchester City,West Brom,3:0,3,0,1.14,8.62,19.35,2017-2018,1517428800
Stoke,Watford,0:0,0,0,2.18,3.45,3.52,2017-2018,1517428800
Tottenham,Manchester Utd,2:0,2,0,2.38,3.33,3.08,2017-2018,1517428800
Chelsea,Bournemouth,0:3,0,3,1.36,5.11,9.46,2017-2018,1517427900
Everton,Leicester,2:1,2,1,2.71,3.11,2.85,2017-2018,1517427900
Newcastle,Burnley,1:1,1,1,2.23,3.11,3.79,2017-2018,1517427900
Southampton,Brighton,1:1,1,1,1.8,3.44,5.33,2017-2018,1517427900
Huddersfield,Liverpool,0:3,0,3,10.25,5.37,1.32,2017-2018,1517342400
Swansea,Arsenal,3:1,3,1,6.72,4.24,1.52,2017-2018,1517341500
West Ham,Crystal Palace,1:1,1,1,3.02,3.2,2.56,2017-2018,1517341500
Swansea,Liverpool,1:0,1,0,10.62,5.7,1.29,2017-2018,1516651200
Southampton,Tottenham,1:1,1,1,4.43,3.7,1.83,2017-2018,1516550400
Manchester City,Newcastle,3:1,3,1,1.12,9.56,24.41,2017-2018,1516469400
Arsenal,Crystal Palace,4:1,4,1,1.45,4.64,7.11,2017-2018,1516460400
Burnley,Manchester Utd,0:1,0,1,7.11,3.91,1.55,2017-2018,1516460400
Everton,West Brom,1:1,1,1,2.44,2.94,3.41,2017-2018,1516460400
Leicester,Watford,2:0,2,0,1.76,3.8,4.7,2017-2018,1516460400
Stoke,Huddersfield,2:0,2,0,2.02,3.35,3.99,2017-2018,1516460400
West Ham,Bournemouth,1:1,1,1,2.27,3.35,3.3,2017-2018,1516460400
Brighton,Chelsea,0:4,0,4,6.43,3.71,1.61,2017-2018,1516451400
Manchester Utd,Stoke,3:0,3,0,1.2,6.96,15.03,2017-2018,1516046400
Liverpool,Manchester City,4:3,4,3,3.06,3.6,2.29,2017-2018,1515945600
Bournemouth,Arsenal,2:1,2,1,3.65,3.59,2.03,2017-2018,1515936600
Tottenham,Everton,4:0,4,0,1.27,5.83,12.22,2017-2018,1515864600
Chelsea,Leicester,0:0,0,0,1.29,5.51,11.37,2017-2018,1515855600
Crystal Palace,Burnley,1:0,1,0,2.19,3.16,3.81,2017-2018,1515855600
Huddersfield,West Ham,1:4,1,4,2.83,3.06,2.76,2017-2018,1515855600
Newcastle,Swansea,1:1,1,1,1.75,3.62,5.39,2017-2018,1515855600
Watford,Southampton,2:2,2,2,2.65,3.28,2.77,2017-2018,1515855600
West Brom,Brighton,2:0,2,0,2.15,3.08,4.08,2017-2018,1515855600
Tottenham,West Ham,1:1,1,1,1.28,5.8,10.97,2017-2018,1515096000
Arsenal,Chelsea,2:2,2,2,3.18,3.34,2.33,2017-2018,1515008700
Manchester City,Watford,3:1,3,1,1.12,9.89,20.26,2017-2018,1514923200
Southampton,Crystal Palace,1:2,1,2,2.07,3.32,3.87,2017-2018,1514922300
Swansea,Tottenham,0:2,0,2,7.87,4.38,1.46,2017-2018,1514922300
West Ham,West Brom,2:1,2,1,2.13,3.11,3.97,2017-2018,1514922300
Everton,Manchester Utd,0:2,0,2,5.51,3.68,1.69,2017-2018,1514827800
Burnley,Liverpool,1:2,1,2,5.99,3.77,1.63,2017-2018,1514818800
Leicester,Huddersfield,3:0,3,0,1.8,3.48,4.99,2017-2018,1514818800
Stoke,Newcastle,0:1,0,1,2.29,3.22,3.38,2017-2018,1514818800
Brighton,Bournemouth,2:2,2,2,2.4,3.03,3.36,2017-2018,1514809800
West Brom,Arsenal,1:1,1,1,5.48,4.09,1.62,2017-2018,1514737800
Crystal Palace,Manchester City,0:0,0,0,9.87,5.77,1.3,2017-2018,1514721600
Manchester Utd,Southampton,0:0,0,0,1.35,5.11,9.54,2017-2018,1514655000
Bournemouth,Everton,2:1,2,1,2.37,3.15,3.29,2017-2018,1514646000
Chelsea,Stoke,5:0,5,0,1.14,8.93,19.5,2017-2018,1514646000
Huddersfield,Burnley,0:0,0,0,2.38,2.95,3.51,2017-2018,1514646000
Liverpool,Leicester,2:1,2,1,1.27,6.54,10.02,2017-2018,1514646000
Newcastle,Brighton,0:0,0,0,2.11,3.17,3.96,2017-2018,1514646000
Watford,Swansea,1:2,1,2,1.79,3.52,5.0,2017-2018,1514646000
Crystal Palace,Arsenal,2:3,2,3,4.52,4.14,1.72,2017-2018,1514491200
Newcastle,Manchester City,0:1,0,1,11.8,6.65,1.24,2017-2018,1514403900
Liverpool,Swansea,5:0,5,0,1.14,9.08,18.1,2017-2018,1514309400
Bournemouth,West Ham,3:3,3,3,2.53,3.19,2.99,2017-2018,1514300400
Chelsea,Brighton,2:0,2,0,1.17,7.4,19.04,2017-2018,1514300400
Huddersfield,Stoke,1:1,1,1,2.33,3.14,3.38,2017-2018,1514300400
Manchester Utd,Burnley,2:2,2,2,1.26,5.89,12.99,2017-2018,1514300400
Watford,Leicester,2:1,2,1,2.63,3.39,2.72,2017-2018,1514300400
West Brom,Everton,0:0,0,0,2.26,3.08,3.62,2017-2018,1514300400
Tottenham,Southampton,5:2,5,2,1.33,5.41,9.42,2017-2018,1514291400
Leicester,Manchester Utd,2:2,2,2,4.06,3.57,1.94,2017-2018,1514058300
Burnley,Tottenham,0:3,0,3,6.55,4.17,1.53,2017-2018,1514050200
Brighton,Watford,1:0,1,0,2.66,3.13,2.86,2017-2018,1514041200
Manchester City,Bournemouth,4:0,4,0,1.09,12.43,26.89,2017-2018,1514041200
Southampton,Huddersfield,1:1,1,1,1.65,3.76,5.83,2017-2018,1514041200
Stoke,West Brom,3:1,3,1,2.32,3.11,3.44,2017-2018,1514041200
Swansea,Crystal Palace,1:1,1,1,3.26,3.18,2.36,2017-2018,1514041200
West Ham,Newcastle,2:3,2,3,1.97,3.35,4.21,2017-2018,1514041200
Everton,Chelsea,0:0,0,0,6.55,4.0,1.56,2017-2018,1514032200
Arsenal,Liverpool,3:3,3,3,2.59,3.58,2.65,2017-2018,1513971900
Arsenal,Everton,3:1,3,1,1.36,5.68,7.84,2016-2017,1495375200
Burnley,West Ham,1:2,1,2,2.32,3.46,3.15,2016-2017,1495375200
Chelsea,Sunderland,5:1,5,1,1.1,10.78,25.05,2016-2017,1495375200
Hull,Tottenham,1:7,1,7,9.33,6.18,1.3,2016-2017,1495375200
Leicester,Bournemouth,1:1,1,1,1.7,4.31,4.58,2016-2017,1495375200
Liverpool,Middlesbrough,3:0,3,0,1.13,9.5,21.79,2016-2017,1495375200
Manchester Utd,Crystal Palace,2:0,2,0,2.32,3.37,3.23,2016-2017,1495375200
Southampton,Stoke,0:1,0,1,1.64,4.18,5.33,2016-2017,1495375200
Swansea,West Brom,2:1,2,1,2.29,3.38,3.27,2016-2017,1495375200
Watford,Manchester City,0:5,0,5,18.11,9.01,1.15,2016-2017,1495375200
Leicester,Tottenham,1:6,1,6,4.09,3.89,1.87,2016-2017,1495133100
Southampton,Manchester Utd,0:0,0,0,2.37,3.25,3.24,2016-2017,1495046700
Manchester City,West Brom,3:1,3,1,1.15,8.62,18.99,2016-2017,1494961200
Arsenal,Sunderland,2:0,2,0,1.11,10.93,22.42,2016-2017,1494960300
Chelsea,Watford,4:3,4,3,1.28,6.16,10.66,2016-2017,1494874800
Tottenham,Manchester Utd,2:1,2,1,1.65,3.96,5.72,2016-2017,1494775800
West Ham,Liverpool,0:4,0,4,5.8,4.06,1.63,2016-2017,1494767700
Crystal Palace,Hull,4:0,4,0,1.94,3.62,4.14,2016-2017,1494759600
Stoke,Arsenal,1:4,1,4,5.16,4.19,1.66,2016-2017,1494693000
Bournemouth,Burnley,2:1,2,1,1.83,3.85,4.37,2016-2017,1494684000
Middlesbrough,Southampton,1:2,1,2,3.75,3.39,2.05,2016-2017,1494684000
Sunderland,Swansea,0:2,0,2,3.31,3.42,2.19,2016-2017,1494684000
Manchester City,Leicester,2:1,2,1,1.19,7.1,12.21,2016-2017,1494675000
West Brom,Chelsea,0:1,0,1,9.64,5.03,1.36,2016-2017,1494615600
Everton,Watford,1:0,1,0,1.42,4.81,7.98,2016-2017,1494614700
Southampton,Arsenal,0:2,0,2,3.3,3.6,2.13,2016-2017,1494441900
Chelsea,Middlesbrough,3:0,3,0,1.14,9.28,22.15,2016-2017,1494270000
Arsenal,Manchester Utd,2:0,2,0,2.1,3.48,3.52,2016-2017,1494169200
Liverpool,Southampton,0:0,0,0,1.59,4.16,6.03,2016-2017,1494160200
Swansea,Everton,1:0,1,0,2.53,3.46,2.88,2016-2017,1494088200
Bournemouth,Stoke,2:2,2,2,2.29,3.4,3.14,2016-2017,1494079200
Burnley,West Brom,2:2,2,2,2.54,3.01,3.24,2016-2017,1494079200
Hull,Sunderland,0:2,0,2,1.54,4.41,6.28,2016-2017,1494079200
Leicester,Watford,3:0,3,0,1.66,3.84,5.81,2016-2017,1494079200
Manchester City,Crystal Palace,5:0,5,0,1.25,6.85,11.44,2016-2017,1494070200
West Ham,Tottenham,1:0,1,0,8.12,5.15,1.4,2016-2017,1494010800
Watford,Liverpool,0:1,0,1,5.7,4.25,1.61,2016-2017,1493665200
Tottenham,Arsenal,2:0,2,0,1.8,4.11,4.29,2016-2017,1493566200
Everton,Chelsea,0:3,0,3,4.38,3.7,1.84,2016-2017,1493557500
Middlesbrough,Manchester City,2:2,2,2,11.4,6.11,1.27,2016-2017,1493557500
Manchester Utd,Swansea,1:1,1,1,1.42,4.72,8.49,2016-2017,1493550000
Crystal Palace,Burnley,0:2,0,2,1.82,3.49,5.09,2016-2017,1493483400
Southampton,Hull,0:0,0,0,1.58,4.19,6.21,2016-2017,1493474400
Stoke,West Ham,0:0,0,0,2.01,3.44,4.05,2016-2017,1493474400
Sunderland,Bournemouth,0:1,0,1,3.3,3.54,2.16,2016-2017,1493474400
West Brom,Leicester,0:1,0,1,2.77,3.24,2.75,2016-2017,1493474400
Manchester City,Manchester Utd,0:0,0,0,1.93,3.49,4.42,2016-2017,1493319600
Crystal Palace,Tottenham,0:1,0,1,5.81,4.39,1.58,2016-2017,1493233200
Arsenal,Leicester,1:0,1,0,1.47,4.93,6.7,2016-2017,1493232300
Middlesbrough,Sunderland,1:0,1,0,2.17,3.4,3.6,2016-2017,1493232300
Arsenal,Everton,3:1,3,1,1.36,5.68,7.84,2016-2017,1495375200
Burnley,West Ham,1:2,1,2,2.32,3.46,3.15,2016-2017,1495375200
Chelsea,Sunderland,5:1,5,1,1.1,10.78,25.05,2016-2017,1495375200
Hull,Tottenham,1:7,1,7,9.33,6.18,1.3,2016-2017,1495375200
Leicester,Bournemouth,1:1,1,1,1.7,4.31,4.58,2016-2017,1495375200
Liverpool,Middlesbrough,3:0,3,0,1.13,9.5,21.79,2016-2017,1495375200
Manchester Utd,Crystal Palace,2:0,2,0,2.32,3.37,3.23,2016-2017,1495375200
Southampton,Stoke,0:1,0,1,1.64,4.18,5.33,2016-2017,1495375200
Swansea,West Brom,2:1,2,1,2.29,3.38,3.27,2016-2017,1495375200
Watford,Manchester City,0:5,0,5,18.11,9.01,1.15,2016-2017,1495375200
Leicester,Tottenham,1:6,1,6,4.09,3.89,1.87,2016-2017,1495133100
Southampton,Manchester Utd,0:0,0,0,2.37,3.25,3.24,2016-2017,1495046700
Manchester City,West Brom,3:1,3,1,1.15,8.62,18.99,2016-2017,1494961200
Arsenal,Sunderland,2:0,2,0,1.11,10.93,22.42,2016-2017,1494960300
Chelsea,Watford,4:3,4,3,1.28,6.16,10.66,2016-2017,1494874800
Tottenham,Manchester Utd,2:1,2,1,1.65,3.96,5.72,2016-2017,1494775800
West Ham,Liverpool,0:4,0,4,5.8,4.06,1.63,2016-2017,1494767700
Crystal Palace,Hull,4:0,4,0,1.94,3.62,4.14,2016-2017,1494759600
Stoke,Arsenal,1:4,1,4,5.16,4.19,1.66,2016-2017,1494693000
Bournemouth,Burnley,2:1,2,1,1.83,3.85,4.37,2016-2017,1494684000
Middlesbrough,Southampton,1:2,1,2,3.75,3.39,2.05,2016-2017,1494684000
Sunderland,Swansea,0:2,0,2,3.31,3.42,2.19,2016-2017,1494684000
Manchester City,Leicester,2:1,2,1,1.19,7.1,12.21,2016-2017,1494675000
West Brom,Chelsea,0:1,0,1,9.64,5.03,1.36,2016-2017,1494615600
Everton,Watford,1:0,1,0,1.42,4.81,7.98,2016-2017,1494614700
Southampton,Arsenal,0:2,0,2,3.3,3.6,2.13,2016-2017,1494441900
Chelsea,Middlesbrough,3:0,3,0,1.14,9.28,22.15,2016-2017,1494270000
Arsenal,Manchester Utd,2:0,2,0,2.1,3.48,3.52,2016-2017,1494169200
Liverpool,Southampton,0:0,0,0,1.59,4.16,6.03,2016-2017,1494160200
Swansea,Everton,1:0,1,0,2.53,3.46,2.88,2016-2017,1494088200
Bournemouth,Stoke,2:2,2,2,2.29,3.4,3.14,2016-2017,1494079200
Burnley,West Brom,2:2,2,2,2.54,3.01,3.24,2016-2017,1494079200
Hull,Sunderland,0:2,0,2,1.54,4.41,6.28,2016-2017,1494079200
Leicester,Watford,3:0,3,0,1.66,3.84,5.81,2016-2017,1494079200
Manchester City,Crystal Palace,5:0,5,0,1.25,6.85,11.44,2016-2017,1494070200
West Ham,Tottenham,1:0,1,0,8.12,5.15,1.4,2016-2017,1494010800
Watford,Liverpool,0:1,0,1,5.7,4.25,1.61,2016-2017,1493665200
Tottenham,Arsenal,2:0,2,0,1.8,4.11,4.29,2016-2017,1493566200
Everton,Chelsea,0:3,0,3,4.38,3.7,1.84,2016-2017,1493557500
Middlesbrough,Manchester City,2:2,2,2,11.4,6.11,1.27,2016-2017,1493557500
Manchester Utd,Swansea,1:1,1,1,1.42,4.72,8.49,2016-2017,1493550000
Crystal Palace,Burnley,0:2,0,2,1.82,3.49,5.09,2016-2017,1493483400
Southampton,Hull,0:0,0,0,1.58,4.19,6.21,2016-2017,1493474400
Stoke,West Ham,0:0,0,0,2.01,3.44,4.05,2016-2017,1493474400
Sunderland,Bournemouth,0:1,0,1,3.3,3.54,2.16,2016-2017,1493474400
West Brom,Leicester,0:1,0,1,2.77,3.24,2.75,2016-2017,1493474400
Manchester City,Manchester Utd,0:0,0,0,1.93,3.49,4.42,2016-2017,1493319600
Crystal Palace,Tottenham,0:1,0,1,5.81,4.39,1.58,2016-2017,1493233200
Arsenal,Leicester,1:0,1,0,1.47,4.93,6.7,2016-2017,1493232300
Middlesbrough,Sunderland,1:0,1,0,2.17,3.4,3.6,2016-2017,1493232300
Chelsea,Southampton,4:2,4,2,1.45,4.7,7.68,2016-2017,1493145900
Liverpool,Crystal Palace,1:2,1,2,1.51,4.41,6.99,2016-2017,1492961400
Burnley,Manchester Utd,0:2,0,2,5.48,3.51,1.76,2016-2017,1492953300
Bournemouth,Middlesbrough,4:0,4,0,1.86,3.7,4.37,2016-2017,1492869600
Hull,Watford,2:0,2,0,1.88,3.63,4.41,2016-2017,1492869600
Swansea,Stoke,2:0,2,0,2.31,3.48,3.17,2016-2017,1492869600
West Ham,Everton,0:0,0,0,3.67,3.65,2.05,2016-2017,1492869600
Middlesbrough,Arsenal,1:2,1,2,6.35,4.72,1.51,2016-2017,1492455600
Manchester Utd,Chelsea,2:0,2,0,2.8,3.15,2.77,2016-2017,1492354800
West Brom,Liverpool,0:1,0,1,4.56,3.68,1.84,2016-2017,1492345800
Southampton,Manchester City,0:3,0,3,4.62,4.05,1.75,2016-2017,1492273800
Crystal Palace,Leicester,2:2,2,2,2.03,3.47,3.97,2016-2017,1492264800
Everton,Burnley,3:1,3,1,1.52,4.16,7.31,2016-2017,1492264800
Stoke,Hull,3:1,3,1,1.97,3.45,4.1,2016-2017,1492264800
Sunderland,West Ham,2:2,2,2,2.71,3.4,2.65,2016-2017,1492264800
Watford,Swansea,1:0,1,0,2.7,3.17,2.86,2016-2017,1492264800
Tottenham,Bournemouth,4:0,4,0,1.24,6.79,12.57,2016-2017,1492255800
Crystal Palace,Arsenal,3:0,3,0,4.62,4.1,1.74,2016-2017,1491850800
Everton,Leicester,4:2,4,2,1.76,3.86,4.84,2016-2017,1491750000
Sunderland,Manchester Utd,0:3,0,3,8.88,4.99,1.39,2016-2017,1491741000
Bournemouth,Chelsea,1:3,1,3,6.4,4.36,1.54,2016-2017,1491669000
Manchester City,Hull,3:1,3,1,1.18,7.89,15.79,2016-2017,1491660000
Middlesbrough,Burnley,0:0,0,0,2.52,3.1,3.17,2016-2017,1491660000
Stoke,Liverpool,1:2,1,2,3.41,3.3,2.28,2016-2017,1491660000
West Brom,Southampton,0:1,0,1,3.03,3.24,2.52,2016-2017,1491660000
West Ham,Swansea,1:0,1,0,2.18,3.39,3.57,2016-2017,1491660000
Tottenham,Watford,4:0,4,0,1.23,6.7,13.97,2016-2017,1491651000
Chelsea,Manchester City,2:1,2,1,2.22,3.37,3.5,2016-2017,1491418800
Liverpool,Bournemouth,2:2,2,2,1.45,4.73,7.72,2016-2017,1491418800
Arsenal,West Ham,3:0,3,0,1.42,5.28,7.2,2016-2017,1491417900
Hull,Middlesbrough,4:2,4,2,2.06,3.26,4.16,2016-2017,1491417900
Southampton,Crystal Palace,3:1,3,1,1.87,3.55,4.65,2016-2017,1491417900
Swansea,Tottenham,1:3,1,3,5.44,3.92,1.69,2016-2017,1491417900
Manchester Utd,Everton,1:1,1,1,1.59,4.06,6.37,2016-2017,1491332400
Burnley,Stoke,1:0,1,0,2.47,3.12,3.26,2016-2017,1491331500
Leicester,Sunderland,2:0,2,0,1.51,4.42,7.17,2016-2017,1491331500
Watford,West Brom,2:0,2,0,2.47,3.14,3.23,2016-2017,1491331500
Arsenal,Manchester City,2:2,2,2,2.88,3.75,2.39,2016-2017,1491145200
Swansea,Middlesbrough,0:0,0,0,1.91,3.43,4.64,2016-2017,1491136200
Southampton,Bournemouth,0:0,0,0,1.66,4.04,5.46,2016-2017,1491064200
Burnley,Tottenham,0:2,0,2,5.06,3.74,1.76,2016-2017,1491055200
Chelsea,Crystal Palace,1:2,1,2,1.34,5.23,10.49,2016-2017,1491055200
Hull,West Ham,2:1,2,1,2.38,3.38,3.18,2016-2017,1491055200
Leicester,Stoke,2:0,2,0,1.91,3.55,4.41,2016-2017,1491055200
Manchester Utd,West Brom,0:0,0,0,1.39,4.91,9.2,2016-2017,1491055200
Watford,Sunderland,1:0,1,0,1.95,3.55,4.19,2016-2017,1491055200
Liverpool,Everton,3:1,3,1,1.73,3.79,5.32,2016-2017,1491046200
Manchester City,Liverpool,1:1,1,1,1.95,3.76,3.93,2016-2017,1489941000
Tottenham,Southampton,2:1,2,1,1.71,3.87,5.34,2016-2017,1489932900
Middlesbrough,Manchester Utd,1:3,1,3,5.86,3.82,1.67,2016-2017,1489924800
Bournemouth,Swansea,2:0,2,0,2.16,3.49,3.53,2016-2017,1489858200
Crystal Palace,Watford,1:0,1,0,1.91,3.44,4.6,2016-2017,1489849200
Everton,Hull,4:0,4,0,1.58,4.1,6.51,2016-2017,1489849200
Stoke,Chelsea,1:2,1,2,5.84,3.74,1.69,2016-2017,1489849200
Sunderland,Burnley,0:0,0,0,2.65,3.17,2.96,2016-2017,1489849200
West Ham,Leicester,2:3,2,3,2.38,3.4,3.13,2016-2017,1489849200
West Brom,Arsenal,3:1,3,1,5.58,4.12,1.64,2016-2017,1489840200
Liverpool,Burnley,2:1,2,1,1.28,6.01,12.15,2016-2017,1489334400
Bournemouth,West Ham,3:2,3,2,2.55,3.48,2.83,2016-2017,1489244400
Everton,West Brom,3:0,3,0,1.65,3.87,5.98,2016-2017,1489244400
Hull,Swansea,2:1,2,1,2.49,3.29,3.06,2016-2017,1489244400
Manchester City,Stoke,0:0,0,0,1.23,6.9,13.23,2016-2017,1489003200
West Ham,Chelsea,1:2,1,2,5.96,4.18,1.6,2016-2017,1488830400
Sunderland,Manchester City,0:2,0,2,10.93,6.39,1.28,2016-2017,1488729600
Tottenham,Everton,3:2,3,2,1.61,4.26,5.77,2016-2017,1488720600
Liverpool,Arsenal,3:1,3,1,1.99,3.63,3.96,2016-2017,1488648600
Leicester,Hull,3:1,3,1,1.84,3.57,4.82,2016-2017,1488639600
Stoke,Middlesbrough,2:0,2,0,2.0,3.25,4.48,2016-2017,1488639600
Swansea,Burnley,3:2,3,2,1.99,3.36,4.31,2016-2017,1488639600
Watford,Southampton,3:4,3,4,3.97,3.43,2.05,2016-2017,1488639600
West Brom,Crystal Palace,0:2,0,2,2.29,3.23,3.52,2016-2017,1488639600
Manchester Utd,Bournemouth,1:1,1,1,1.25,6.52,13.19,2016-2017,1488630600
Leicester,Liverpool,3:1,3,1,5.57,4.05,1.66,2016-2017,1488225600
Tottenham,Stoke,4:0,4,0,1.38,5.12,8.71,2016-2017,1488115800
Watford,West Ham,1:1,1,1,2.76,3.21,2.8,2016-2017,1488043800
Chelsea,Swansea,3:1,3,1,1.27,6.06,12.66,2016-2017,1488034800
Crystal Palace,Middlesbrough,1:0,1,0,2.1,3.17,4.16,2016-2017,1488034800
Everton,Sunderland,2:0,2,0,1.42,4.98,7.98,2016-2017,1488034800
Hull,Burnley,1:1,1,1,2.15,3.23,3.9,2016-2017,1488034800
West Brom,Bournemouth,2:1,2,1,2.16,3.31,3.74,2016-2017,1488034800
Bournemouth,Manchester City,0:2,0,2,7.47,5.2,1.42,2016-2017,1487016000
Swansea,Leicester,2:0,2,0,2.5,3.28,3.06,2016-2017,1486915200
Burnley,Chelsea,1:1,1,1,7.95,4.43,1.47,2016-2017,1486906200
Liverpool,Tottenham,2:0,2,0,2.23,3.4,3.46,2016-2017,1486834200
Manchester Utd,Watford,2:0,2,0,1.26,6.26,12.98,2016-2017,1486825200
Middlesbrough,Everton,0:0,0,0,3.79,3.29,2.15,2016-2017,1486825200
Stoke,Crystal Palace,1:0,1,0,2.21,3.26,3.68,2016-2017,1486825200
Sunderland,Southampton,0:4,0,4,3.86,3.53,2.05,2016-2017,1486825200
West Ham,West Brom,2:2,2,2,2.29,3.25,3.49,2016-2017,1486825200
Arsenal,Hull,2:0,2,0,1.31,5.79,10.69,2016-2017,1486816200
Leicester,Manchester Utd,0:3,0,3,5.23,3.81,1.73,2016-2017,1486310400
Manchester City,Swansea,2:1,2,1,1.22,7.32,13.51,2016-2017,1486301400
Tottenham,Middlesbrough,1:0,1,0,1.29,5.9,11.82,2016-2017,1486229400
Crystal Palace,Sunderland,0:4,0,4,1.71,3.79,5.51,2016-2017,1486220400
Everton,Bournemouth,6:3,6,3,1.71,3.92,5.24,2016-2017,1486220400
Hull,Liverpool,2:0,2,0,6.75,4.4,1.53,2016-2017,1486220400
Southampton,West Ham,1:3,1,3,1.77,3.82,4.9,2016-2017,1486220400
Watford,Burnley,2:1,2,1,2.11,3.24,4.04,2016-2017,1486220400
West Brom,Stoke,1:0,1,0,2.41,3.18,3.3,2016-2017,1486220400
Chelsea,Arsenal,3:1,3,1,2.06,3.34,4.06,2016-2017,1486211400
Manchester Utd,Hull,0:0,0,0,1.2,7.32,15.96,2016-2017,1485979200
Stoke,Everton,1:1,1,1,3.1,3.31,2.46,2016-2017,1485979200
West Ham,Manchester City,0:4,0,4,5.6,4.48,1.59,2016-2017,1485978300
Liverpool,Chelsea,1:1,1,1,2.57,3.18,3.05,2016-2017,1485892800
Arsenal,Watford,1:2,1,2,1.23,6.87,13.83,2016-2017,1485891900
Bournemouth,Crystal Palace,0:2,0,2,2.14,3.38,3.74,2016-2017,1485891900
Burnley,Leicester,1:0,1,0,2.92,3.21,2.64,2016-2017,1485891900
Middlesbrough,West Brom,1:1,1,1,2.74,3.0,3.01,2016-2017,1485891900
Sunderland,Tottenham,0:0,0,0,8.64,5.58,1.36,2016-2017,1485891900
Swansea,Southampton,2:1,2,1,3.22,3.37,2.36,2016-2017,1485891900
Chelsea,Hull,2:0,2,0,1.18,7.79,17.78,2016-2017,1485102600
Arsenal,Burnley,2:1,2,1,1.21,7.17,15.3,2016-2017,1485094500
Southampton,Leicester,3:0,3,0,1.8,3.53,5.1,2016-2017,1485086400
Manchester City,Tottenham,2:2,2,2,2.12,3.51,3.63,2016-2017,1485019800
Bournemouth,Watford,2:2,2,2,1.9,3.59,4.42,2016-2017,1485010800
Crystal Palace,Everton,0:1,0,1,3.06,3.31,2.48,2016-2017,1485010800
Middlesbrough,West Ham,1:3,1,3,2.53,3.12,3.18,2016-2017,1485010800
Stoke,Manchester Utd,1:1,1,1,5.89,4.12,1.61,2016-2017,1485010800
West Brom,Sunderland,2:0,2,0,1.68,3.87,5.65,2016-2017,1485010800
Liverpool,Swansea,2:3,2,3,1.25,6.54,12.43,2016-2017,1485001800
Manchester Utd,Liverpool,1:1,1,1,1.99,3.38,4.23,2016-2017,1484496000
Everton,Manchester City,4:0,4,0,4.57,3.83,1.81,2016-2017,1484487000
Leicester,Chelsea,0:3,0,3,4.9,3.58,1.82,2016-2017,1484415000
Burnley,Southampton,1:0,1,0,4.39,3.41,1.96,2016-2017,1484406000
Hull,Bournemouth,3:1,3,1,3.03,3.39,2.45,2016-2017,1484406000
Sunderland,Stoke,1:3,1,3,3.38,3.45,2.24,2016-2017,1484406000
Swansea,Arsenal,0:4,0,4,6.74,4.76,1.49,2016-2017,1484406000
Watford,Middlesbrough,0:0,0,0,2.39,3.11,3.42,2016-2017,1484406000
West Ham,Crystal Palace,3:0,3,0,2.39,3.28,3.23,2016-2017,1484406000
Tottenham,West Brom,4:0,4,0,1.35,5.11,10.58,2016-2017,1484397000
Tottenham,Chelsea,2:0,2,0,2.7,3.1,2.95,2016-2017,1483560000
Crystal Palace,Swansea,1:2,1,2,1.85,3.67,4.53,2016-2017,1483473600
Stoke,Watford,2:0,2,0,1.81,3.58,4.94,2016-2017,1483473600
Bournemouth,Arsenal,3:3,3,3,5.18,4.16,1.67,2016-2017,1483472700
West Ham,Manchester Utd,0:2,0,2,6.25,4.4,1.55,2016-2017,1483377300
Everton,Southampton,3:0,3,0,2.4,3.24,3.25,2016-2017,1483369200
Manchester City,Burnley,2:1,2,1,1.2,7.32,16.09,2016-2017,1483369200
Sunderland,Liverpool,2:2,2,2,10.11,5.97,1.3,2016-2017,1483369200
West Brom,Hull,3:1,3,1,1.96,3.29,4.57,2016-2017,1483369200
Middlesbrough,Leicester,0:0,0,0,2.73,3.06,2.95,2016-2017,1483360200
Arsenal,Crystal Palace,2:0,2,0,1.37,5.33,8.5,2016-2017,1483286400
Watford,Tottenham,1:4,1,4,6.21,4.18,1.58,2016-2017,1483277400
